region,latitude,longitude,time,sea_current_speed,direction
Selat Malaka & Sumatra Barat,3.473684,94.0,2026-05-29T00:00,0.4,117
Selat Malaka & Sumatra Barat,3.473684,94.631579,2026-05-29T00:00,0.6,72
Selat Malaka & Sumatra Barat,3.473684,95.263158,2026-05-29T00:00,0.4,333
Selat Malaka & Sumatra Barat,3.473684,95.894737,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,3.473684,96.526316,2026-05-29T00:00,0.6,146
Selat Malaka & Sumatra Barat,3.473684,97.157895,2026-05-29T00:00,0.4,180
Selat Malaka & Sumatra Barat,3.473684,99.052632,2026-05-29T00:00,0.8,297
Selat Malaka & Sumatra Barat,3.473684,99.684211,2026-05-29T00:00,0.8,315
Selat Malaka & Sumatra Barat,3.473684,100.315789,2026-05-29T00:00,0.6,304
Selat Malaka & Sumatra Barat,3.473684,100.947368,2026-05-29T00:00,0.9,307
Selat Malaka & Sumatra Barat,3.473684,103.473684,2026-05-29T00:00,0.4,90
Selat Malaka & Sumatra Barat,3.473684,104.105263,2026-05-29T00:00,0.4,117
Selat Malaka & Sumatra Barat,3.473684,104.736842,2026-05-29T00:00,0.9,127
Selat Malaka & Sumatra Barat,3.473684,105.368421,2026-05-29T00:00,0.6,108
Selat Malaka & Sumatra Barat,3.473684,106.0,2026-05-29T00:00,0.7,76
Selat Malaka & Sumatra Barat,2.842105,94.0,2026-05-29T00:00,0.7,14
Selat Malaka & Sumatra Barat,2.842105,94.631579,2026-05-29T00:00,0.6,342
Selat Malaka & Sumatra Barat,2.842105,95.263158,2026-05-29T00:00,0.5,315
Selat Malaka & Sumatra Barat,2.842105,95.894737,2026-05-29T00:00,0.8,225
Selat Malaka & Sumatra Barat,2.842105,96.526316,2026-05-29T00:00,0.4,153
Selat Malaka & Sumatra Barat,2.842105,97.157895,2026-05-29T00:00,0.5,135
Selat Malaka & Sumatra Barat,2.842105,97.789474,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,2.842105,99.684211,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,2.842105,100.315789,2026-05-29T00:00,1.0,329
Selat Malaka & Sumatra Barat,2.842105,100.947368,2026-05-29T00:00,0.2,0
Selat Malaka & Sumatra Barat,2.842105,101.578947,2026-05-29T00:00,0.8,135
Selat Malaka & Sumatra Barat,2.842105,103.473684,2026-05-29T00:00,0.2,180
Selat Malaka & Sumatra Barat,2.842105,104.105263,2026-05-29T00:00,0.4,90
Selat Malaka & Sumatra Barat,2.842105,104.736842,2026-05-29T00:00,0.8,117
Selat Malaka & Sumatra Barat,2.842105,105.368421,2026-05-29T00:00,0.7,104
Selat Malaka & Sumatra Barat,2.842105,106.0,2026-05-29T00:00,0.4,90
Selat Malaka & Sumatra Barat,2.210526,94.0,2026-05-29T00:00,0.4,153
Selat Malaka & Sumatra Barat,2.210526,94.631579,2026-05-29T00:00,0.6,288
Selat Malaka & Sumatra Barat,2.210526,95.263158,2026-05-29T00:00,0.8,315
Selat Malaka & Sumatra Barat,2.210526,95.894737,2026-05-29T00:00,0.8,297
Selat Malaka & Sumatra Barat,2.210526,96.526316,2026-05-29T00:00,1.7,238
Selat Malaka & Sumatra Barat,2.210526,97.157895,2026-05-29T00:00,0.8,243
Selat Malaka & Sumatra Barat,2.210526,97.789474,2026-05-29T00:00,0.4,243
Selat Malaka & Sumatra Barat,2.210526,98.421053,2026-05-29T00:00,0.2,270
Selat Malaka & Sumatra Barat,2.210526,100.315789,2026-05-29T00:00,0.4,333
Selat Malaka & Sumatra Barat,2.210526,100.947368,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,2.210526,101.578947,2026-05-29T00:00,0.9,79
Selat Malaka & Sumatra Barat,2.210526,102.210526,2026-05-29T00:00,1.8,127
Selat Malaka & Sumatra Barat,2.210526,104.105263,2026-05-29T00:00,0.4,153
Selat Malaka & Sumatra Barat,2.210526,104.736842,2026-05-29T00:00,0.5,90
Selat Malaka & Sumatra Barat,2.210526,105.368421,2026-05-29T00:00,1.1,81
Selat Malaka & Sumatra Barat,2.210526,106.0,2026-05-29T00:00,0.7,76
Selat Malaka & Sumatra Barat,1.578947,94.0,2026-05-29T00:00,0.6,162
Selat Malaka & Sumatra Barat,1.578947,94.631579,2026-05-29T00:00,0.5,180
Selat Malaka & Sumatra Barat,1.578947,95.263158,2026-05-29T00:00,0.5,270
Selat Malaka & Sumatra Barat,1.578947,95.894737,2026-05-29T00:00,1.0,292
Selat Malaka & Sumatra Barat,1.578947,96.526316,2026-05-29T00:00,1.1,252
Selat Malaka & Sumatra Barat,1.578947,97.157895,2026-05-29T00:00,0.8,243
Selat Malaka & Sumatra Barat,1.578947,97.789474,2026-05-29T00:00,0.6,342
Selat Malaka & Sumatra Barat,1.578947,98.421053,2026-05-29T00:00,0.4,180
Selat Malaka & Sumatra Barat,1.578947,99.052632,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,1.578947,102.210526,2026-05-29T00:00,1.6,96
Selat Malaka & Sumatra Barat,1.578947,102.842105,2026-05-29T00:00,2.8,117
Selat Malaka & Sumatra Barat,1.578947,103.473684,2026-05-29T00:00,1.3,135
Selat Malaka & Sumatra Barat,1.578947,104.105263,2026-05-29T00:00,0.5,90
Selat Malaka & Sumatra Barat,1.578947,104.736842,2026-05-29T00:00,1.6,63
Selat Malaka & Sumatra Barat,1.578947,105.368421,2026-05-29T00:00,1.2,51
Selat Malaka & Sumatra Barat,1.578947,106.0,2026-05-29T00:00,1.5,76
Selat Malaka & Sumatra Barat,0.947368,94.0,2026-05-29T00:00,1.1,180
Selat Malaka & Sumatra Barat,0.947368,94.631579,2026-05-29T00:00,0.7,194
Selat Malaka & Sumatra Barat,0.947368,95.263158,2026-05-29T00:00,0.8,207
Selat Malaka & Sumatra Barat,0.947368,95.894737,2026-05-29T00:00,0.9,259
Selat Malaka & Sumatra Barat,0.947368,96.526316,2026-05-29T00:00,0.6,252
Selat Malaka & Sumatra Barat,0.947368,97.157895,2026-05-29T00:00,0.3,315
Selat Malaka & Sumatra Barat,0.947368,97.789474,2026-05-29T00:00,0.2,0
Selat Malaka & Sumatra Barat,0.947368,98.421053,2026-05-29T00:00,0.4,153
Selat Malaka & Sumatra Barat,0.947368,99.052632,2026-05-29T00:00,0.2,270
Selat Malaka & Sumatra Barat,0.947368,102.842105,2026-05-29T00:00,0.5,90
Selat Malaka & Sumatra Barat,0.947368,103.473684,2026-05-29T00:00,0.3,135
Selat Malaka & Sumatra Barat,0.947368,104.105263,2026-05-29T00:00,0.2,0
Selat Malaka & Sumatra Barat,0.947368,104.736842,2026-05-29T00:00,0.2,90
Selat Malaka & Sumatra Barat,0.947368,105.368421,2026-05-29T00:00,1.9,22
Selat Malaka & Sumatra Barat,0.947368,106.0,2026-05-29T00:00,1.2,39
Selat Malaka & Sumatra Barat,0.315789,94.0,2026-05-29T00:00,1.0,211
Selat Malaka & Sumatra Barat,0.315789,94.631579,2026-05-29T00:00,1.1,198
Selat Malaka & Sumatra Barat,0.315789,95.263158,2026-05-29T00:00,1.1,198
Selat Malaka & Sumatra Barat,0.315789,95.894737,2026-05-29T00:00,0.9,217
Selat Malaka & Sumatra Barat,0.315789,96.526316,2026-05-29T00:00,0.9,233
Selat Malaka & Sumatra Barat,0.315789,97.157895,2026-05-29T00:00,1.1,261
Selat Malaka & Sumatra Barat,0.315789,97.789474,2026-05-29T00:00,1.4,247
Selat Malaka & Sumatra Barat,0.315789,98.421053,2026-05-29T00:00,1.0,248
Selat Malaka & Sumatra Barat,0.315789,99.052632,2026-05-29T00:00,0.4,270
Selat Malaka & Sumatra Barat,0.315789,99.684211,2026-05-29T00:00,0.4,270
Selat Malaka & Sumatra Barat,0.315789,103.473684,2026-05-29T00:00,0.2,180
Selat Malaka & Sumatra Barat,0.315789,104.105263,2026-05-29T00:00,0.6,18
Selat Malaka & Sumatra Barat,0.315789,104.736842,2026-05-29T00:00,1.2,309
Selat Malaka & Sumatra Barat,0.315789,105.368421,2026-05-29T00:00,1.8,0
Selat Malaka & Sumatra Barat,0.315789,106.0,2026-05-29T00:00,1.7,13
Selat Malaka & Sumatra Barat,-0.315789,94.0,2026-05-29T00:00,1.5,201
Selat Malaka & Sumatra Barat,-0.315789,94.631579,2026-05-29T00:00,1.5,194
Selat Malaka & Sumatra Barat,-0.315789,95.263158,2026-05-29T00:00,1.4,203
Selat Malaka & Sumatra Barat,-0.315789,95.894737,2026-05-29T00:00,1.1,189
Selat Malaka & Sumatra Barat,-0.315789,96.526316,2026-05-29T00:00,1.0,211
Selat Malaka & Sumatra Barat,-0.315789,97.157895,2026-05-29T00:00,0.8,225
Selat Malaka & Sumatra Barat,-0.315789,97.789474,2026-05-29T00:00,0.5,225
Selat Malaka & Sumatra Barat,-0.315789,98.421053,2026-05-29T00:00,0.4,27
Selat Malaka & Sumatra Barat,-0.315789,99.052632,2026-05-29T00:00,0.6,162
Selat Malaka & Sumatra Barat,-0.315789,99.684211,2026-05-29T00:00,0.6,288
Selat Malaka & Sumatra Barat,-0.315789,103.473684,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,-0.315789,104.105263,2026-05-29T00:00,0.4,0
Selat Malaka & Sumatra Barat,-0.315789,104.736842,2026-05-29T00:00,0.5,315
Selat Malaka & Sumatra Barat,-0.315789,105.368421,2026-05-29T00:00,1.6,0
Selat Malaka & Sumatra Barat,-0.315789,106.0,2026-05-29T00:00,1.5,346
Selat Malaka & Sumatra Barat,-0.947368,94.0,2026-05-29T00:00,0.9,217
Selat Malaka & Sumatra Barat,-0.947368,94.631579,2026-05-29T00:00,1.0,202
Selat Malaka & Sumatra Barat,-0.947368,95.263158,2026-05-29T00:00,1.8,174
Selat Malaka & Sumatra Barat,-0.947368,95.894737,2026-05-29T00:00,1.8,169
Selat Malaka & Sumatra Barat,-0.947368,96.526316,2026-05-29T00:00,1.3,180
Selat Malaka & Sumatra Barat,-0.947368,97.157895,2026-05-29T00:00,0.8,153
Selat Malaka & Sumatra Barat,-0.947368,97.789474,2026-05-29T00:00,0.6,162
Selat Malaka & Sumatra Barat,-0.947368,98.421053,2026-05-29T00:00,0.3,315
Selat Malaka & Sumatra Barat,-0.947368,99.052632,2026-05-29T00:00,1.0,329
Selat Malaka & Sumatra Barat,-0.947368,99.684211,2026-05-29T00:00,0.4,153
Selat Malaka & Sumatra Barat,-0.947368,100.315789,2026-05-29T00:00,0.4,243
Selat Malaka & Sumatra Barat,-0.947368,103.473684,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,-0.947368,104.105263,2026-05-29T00:00,0.6,288
Selat Malaka & Sumatra Barat,-0.947368,104.736842,2026-05-29T00:00,0.7,346
Selat Malaka & Sumatra Barat,-0.947368,105.368421,2026-05-29T00:00,1.1,9
Selat Malaka & Sumatra Barat,-0.947368,106.0,2026-05-29T00:00,1.5,346
Selat Malaka & Sumatra Barat,-1.578947,94.0,2026-05-29T00:00,1.0,225
Selat Malaka & Sumatra Barat,-1.578947,94.631579,2026-05-29T00:00,0.9,233
Selat Malaka & Sumatra Barat,-1.578947,95.263158,2026-05-29T00:00,0.6,252
Selat Malaka & Sumatra Barat,-1.578947,95.894737,2026-05-29T00:00,0.6,252
Selat Malaka & Sumatra Barat,-1.578947,96.526316,2026-05-29T00:00,1.0,158
Selat Malaka & Sumatra Barat,-1.578947,97.157895,2026-05-29T00:00,0.8,135
Selat Malaka & Sumatra Barat,-1.578947,97.789474,2026-05-29T00:00,0.6,18
Selat Malaka & Sumatra Barat,-1.578947,98.421053,2026-05-29T00:00,0.3,225
Selat Malaka & Sumatra Barat,-1.578947,99.052632,2026-05-29T00:00,0.4,270
Selat Malaka & Sumatra Barat,-1.578947,99.684211,2026-05-29T00:00,0.6,326
Selat Malaka & Sumatra Barat,-1.578947,100.315789,2026-05-29T00:00,0.8,207
Selat Malaka & Sumatra Barat,-1.578947,100.947368,2026-05-29T00:00,0.5,270
Selat Malaka & Sumatra Barat,-1.578947,104.736842,2026-05-29T00:00,0.7,346
Selat Malaka & Sumatra Barat,-1.578947,105.368421,2026-05-29T00:00,1.2,39
Selat Malaka & Sumatra Barat,-1.578947,106.0,2026-05-29T00:00,0.2,0
Selat Malaka & Sumatra Barat,-2.210526,94.0,2026-05-29T00:00,1.0,239
Selat Malaka & Sumatra Barat,-2.210526,94.631579,2026-05-29T00:00,1.4,247
Selat Malaka & Sumatra Barat,-2.210526,95.263158,2026-05-29T00:00,1.1,252
Selat Malaka & Sumatra Barat,-2.210526,95.894737,2026-05-29T00:00,0.6,236
Selat Malaka & Sumatra Barat,-2.210526,96.526316,2026-05-29T00:00,0.2,180
Selat Malaka & Sumatra Barat,-2.210526,97.157895,2026-05-29T00:00,0.4,90
Selat Malaka & Sumatra Barat,-2.210526,97.789474,2026-05-29T00:00,0.7,76
Selat Malaka & Sumatra Barat,-2.210526,98.421053,2026-05-29T00:00,0.6,56
Selat Malaka & Sumatra Barat,-2.210526,99.052632,2026-05-29T00:00,0.5,90
Selat Malaka & Sumatra Barat,-2.210526,99.684211,2026-05-29T00:00,0.6,72
Selat Malaka & Sumatra Barat,-2.210526,100.315789,2026-05-29T00:00,0.2,180
Selat Malaka & Sumatra Barat,-2.210526,100.947368,2026-05-29T00:00,0.6,288
Selat Malaka & Sumatra Barat,-2.210526,105.368421,2026-05-29T00:00,2.1,290
Selat Malaka & Sumatra Barat,-2.210526,106.0,2026-05-29T00:00,0.5,315
Selat Malaka & Sumatra Barat,-2.842105,94.0,2026-05-29T00:00,0.8,243
Selat Malaka & Sumatra Barat,-2.842105,94.631579,2026-05-29T00:00,0.6,236
Selat Malaka & Sumatra Barat,-2.842105,95.263158,2026-05-29T00:00,0.5,180
Selat Malaka & Sumatra Barat,-2.842105,95.894737,2026-05-29T00:00,0.7,180
Selat Malaka & Sumatra Barat,-2.842105,96.526316,2026-05-29T00:00,1.0,135
Selat Malaka & Sumatra Barat,-2.842105,97.157895,2026-05-29T00:00,0.9,101
Selat Malaka & Sumatra Barat,-2.842105,97.789474,2026-05-29T00:00,1.0,68
Selat Malaka & Sumatra Barat,-2.842105,98.421053,2026-05-29T00:00,1.2,63
Selat Malaka & Sumatra Barat,-2.842105,99.052632,2026-05-29T00:00,1.3,82
Selat Malaka & Sumatra Barat,-2.842105,99.684211,2026-05-29T00:00,0.6,198
Selat Malaka & Sumatra Barat,-2.842105,100.315789,2026-05-29T00:00,0.4,297
Selat Malaka & Sumatra Barat,-2.842105,100.947368,2026-05-29T00:00,0.8,207
Selat Malaka & Sumatra Barat,-2.842105,101.578947,2026-05-29T00:00,0.2,270
Selat Malaka & Sumatra Barat,-2.842105,106.0,2026-05-29T00:00,0.4,90
Selat Malaka & Sumatra Barat,-3.473684,94.0,2026-05-29T00:00,0.4,207
Selat Malaka & Sumatra Barat,-3.473684,94.631579,2026-05-29T00:00,0.4,180
Selat Malaka & Sumatra Barat,-3.473684,95.263158,2026-05-29T00:00,0.9,143
Selat Malaka & Sumatra Barat,-3.473684,95.894737,2026-05-29T00:00,1.0,149
Selat Malaka & Sumatra Barat,-3.473684,96.526316,2026-05-29T00:00,1.2,129
Selat Malaka & Sumatra Barat,-3.473684,97.157895,2026-05-29T00:00,0.8,117
Selat Malaka & Sumatra Barat,-3.473684,97.789474,2026-05-29T00:00,0.5,90
Selat Malaka & Sumatra Barat,-3.473684,98.421053,2026-05-29T00:00,0.6,18
Selat Malaka & Sumatra Barat,-3.473684,99.052632,2026-05-29T00:00,0.4,243
Selat Malaka & Sumatra Barat,-3.473684,99.684211,2026-05-29T00:00,0.7,194
Selat Malaka & Sumatra Barat,-3.473684,100.315789,2026-05-29T00:00,0.5,180
Selat Malaka & Sumatra Barat,-3.473684,100.947368,2026-05-29T00:00,0.3,135
Selat Malaka & Sumatra Barat,-3.473684,101.578947,2026-05-29T00:00,0.7,256
Selat Malaka & Sumatra Barat,-3.473684,102.210526,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,-3.473684,106.0,2026-05-29T00:00,0.3,315
Selat Malaka & Sumatra Barat,-4.105263,94.0,2026-05-29T00:00,0.5,135
Selat Malaka & Sumatra Barat,-4.105263,94.631579,2026-05-29T00:00,0.5,45
Selat Malaka & Sumatra Barat,-4.105263,95.263158,2026-05-29T00:00,0.6,56
Selat Malaka & Sumatra Barat,-4.105263,95.894737,2026-05-29T00:00,0.9,90
Selat Malaka & Sumatra Barat,-4.105263,96.526316,2026-05-29T00:00,1.5,104
Selat Malaka & Sumatra Barat,-4.105263,97.157895,2026-05-29T00:00,1.5,97
Selat Malaka & Sumatra Barat,-4.105263,97.789474,2026-05-29T00:00,1.3,98
Selat Malaka & Sumatra Barat,-4.105263,98.421053,2026-05-29T00:00,0.9,90
Selat Malaka & Sumatra Barat,-4.105263,99.052632,2026-05-29T00:00,0.6,108
Selat Malaka & Sumatra Barat,-4.105263,99.684211,2026-05-29T00:00,0.9,180
Selat Malaka & Sumatra Barat,-4.105263,100.315789,2026-05-29T00:00,0.6,146
Selat Malaka & Sumatra Barat,-4.105263,100.947368,2026-05-29T00:00,1.7,139
Selat Malaka & Sumatra Barat,-4.105263,101.578947,2026-05-29T00:00,2.3,151
Selat Malaka & Sumatra Barat,-4.105263,102.210526,2026-05-29T00:00,0.4,270
Selat Malaka & Sumatra Barat,-4.105263,102.842105,2026-05-29T00:00,0.2,270
Selat Malaka & Sumatra Barat,-4.105263,106.0,2026-05-29T00:00,0.2,0
Selat Malaka & Sumatra Barat,-4.736842,94.0,2026-05-29T00:00,0.8,117
Selat Malaka & Sumatra Barat,-4.736842,94.631579,2026-05-29T00:00,0.6,34
Selat Malaka & Sumatra Barat,-4.736842,95.263158,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,-4.736842,95.894737,2026-05-29T00:00,0.4,117
Selat Malaka & Sumatra Barat,-4.736842,96.526316,2026-05-29T00:00,1.0,112
Selat Malaka & Sumatra Barat,-4.736842,97.157895,2026-05-29T00:00,1.1,108
Selat Malaka & Sumatra Barat,-4.736842,97.789474,2026-05-29T00:00,1.5,104
Selat Malaka & Sumatra Barat,-4.736842,98.421053,2026-05-29T00:00,1.5,104
Selat Malaka & Sumatra Barat,-4.736842,99.052632,2026-05-29T00:00,1.0,121
Selat Malaka & Sumatra Barat,-4.736842,99.684211,2026-05-29T00:00,0.9,143
Selat Malaka & Sumatra Barat,-4.736842,100.315789,2026-05-29T00:00,0.9,143
Selat Malaka & Sumatra Barat,-4.736842,100.947368,2026-05-29T00:00,0.8,135
Selat Malaka & Sumatra Barat,-4.736842,101.578947,2026-05-29T00:00,0.2,180
Selat Malaka & Sumatra Barat,-4.736842,102.210526,2026-05-29T00:00,2.2,138
Selat Malaka & Sumatra Barat,-4.736842,102.842105,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,-4.736842,103.473684,2026-05-29T00:00,0.4,243
Selat Malaka & Sumatra Barat,-4.736842,106.0,2026-05-29T00:00,0.6,18
Selat Malaka & Sumatra Barat,-5.368421,94.0,2026-05-29T00:00,1.3,90
Selat Malaka & Sumatra Barat,-5.368421,94.631579,2026-05-29T00:00,0.6,72
Selat Malaka & Sumatra Barat,-5.368421,95.263158,2026-05-29T00:00,0.6,72
Selat Malaka & Sumatra Barat,-5.368421,95.894737,2026-05-29T00:00,0.7,76
Selat Malaka & Sumatra Barat,-5.368421,96.526316,2026-05-29T00:00,1.5,97
Selat Malaka & Sumatra Barat,-5.368421,97.157895,2026-05-29T00:00,1.4,113
Selat Malaka & Sumatra Barat,-5.368421,97.789474,2026-05-29T00:00,1.3,98
Selat Malaka & Sumatra Barat,-5.368421,98.421053,2026-05-29T00:00,1.7,103
Selat Malaka & Sumatra Barat,-5.368421,99.052632,2026-05-29T00:00,1.8,114
Selat Malaka & Sumatra Barat,-5.368421,99.684211,2026-05-29T00:00,1.8,135
Selat Malaka & Sumatra Barat,-5.368421,100.315789,2026-05-29T00:00,1.7,139
Selat Malaka & Sumatra Barat,-5.368421,100.947368,2026-05-29T00:00,1.4,130
Selat Malaka & Sumatra Barat,-5.368421,101.578947,2026-05-29T00:00,0.8,117
Selat Malaka & Sumatra Barat,-5.368421,102.210526,2026-05-29T00:00,0.6,146
Selat Malaka & Sumatra Barat,-5.368421,102.842105,2026-05-29T00:00,1.7,139
Selat Malaka & Sumatra Barat,-5.368421,103.473684,2026-05-29T00:00,1.5,144
Selat Malaka & Sumatra Barat,-5.368421,104.105263,2026-05-29T00:00,0.2,0
