latitude,longitude,time,sea_current_speed,direction
0.318253,103.645815,2026-05-29T00:00,0.0,90
0.318253,103.73136755555555,2026-05-29T00:00,0.0,90
0.318253,103.81692011111112,2026-05-29T00:00,0.3,315
0.318253,103.90247266666667,2026-05-29T00:00,0.6,342
0.318253,103.98802522222222,2026-05-29T00:00,0.9,0
0.318253,104.07357777777779,2026-05-29T00:00,0.9,0
0.318253,104.15913033333334,2026-05-29T00:00,0.6,18
0.318253,104.24468288888889,2026-05-29T00:00,0.5,0
0.318253,104.33023544444445,2026-05-29T00:00,0.5,270
0.318253,104.415788,2026-05-29T00:00,0.9,281
0.2447118888888889,103.645815,2026-05-29T00:00,0.0,90
0.2447118888888889,103.81692011111112,2026-05-29T00:00,0.4,0
0.2447118888888889,103.98802522222222,2026-05-29T00:00,0.9,11
0.2447118888888889,104.07357777777779,2026-05-29T00:00,1.0,22
0.2447118888888889,104.15913033333334,2026-05-29T00:00,0.6,18
0.2447118888888889,104.33023544444445,2026-05-29T00:00,0.5,315
0.2447118888888889,104.415788,2026-05-29T00:00,0.9,281
0.17117077777777778,103.645815,2026-05-29T00:00,0.4,0
0.17117077777777778,103.73136755555555,2026-05-29T00:00,0.4,0
0.17117077777777778,103.81692011111112,2026-05-29T00:00,0.4,0
0.17117077777777778,103.90247266666667,2026-05-29T00:00,0.7,14
0.17117077777777778,103.98802522222222,2026-05-29T00:00,0.9,11
0.17117077777777778,104.07357777777779,2026-05-29T00:00,1.0,22
0.17117077777777778,104.15913033333334,2026-05-29T00:00,0.6,18
0.17117077777777778,104.24468288888889,2026-05-29T00:00,0.4,333
0.17117077777777778,104.33023544444445,2026-05-29T00:00,0.5,315
0.09762966666666667,103.645815,2026-05-29T00:00,0.3,45
0.09762966666666667,103.81692011111112,2026-05-29T00:00,1.0,31
0.09762966666666667,103.90247266666667,2026-05-29T00:00,1.0,31
0.09762966666666667,103.98802522222222,2026-05-29T00:00,1.3,34
0.09762966666666667,104.07357777777779,2026-05-29T00:00,1.2,39
0.09762966666666667,104.15913033333334,2026-05-29T00:00,0.6,34
0.09762966666666667,104.24468288888889,2026-05-29T00:00,0.4,297
0.09762966666666667,104.33023544444445,2026-05-29T00:00,0.6,288
0.09762966666666667,104.415788,2026-05-29T00:00,1.0,292
0.024088555555555557,103.645815,2026-05-29T00:00,0.3,45
0.024088555555555557,103.73136755555555,2026-05-29T00:00,0.4,27
0.024088555555555557,103.81692011111112,2026-05-29T00:00,1.5,30
0.024088555555555557,103.90247266666667,2026-05-29T00:00,1.5,30
0.024088555555555557,104.15913033333334,2026-05-29T00:00,0.4,90
0.024088555555555557,104.24468288888889,2026-05-29T00:00,0.2,90
0.024088555555555557,104.33023544444445,2026-05-29T00:00,0.2,90
-0.049452555555555555,103.73136755555555,2026-05-29T00:00,0.4,27
-0.049452555555555555,103.81692011111112,2026-05-29T00:00,0.8,27
-0.049452555555555555,103.90247266666667,2026-05-29T00:00,1.2,27
-0.049452555555555555,103.98802522222222,2026-05-29T00:00,1.5,7
-0.049452555555555555,104.07357777777779,2026-05-29T00:00,0.9,323
-0.049452555555555555,104.24468288888889,2026-05-29T00:00,0.0,90
-0.049452555555555555,104.33023544444445,2026-05-29T00:00,0.3,45
-0.049452555555555555,104.415788,2026-05-29T00:00,0.4,63
-0.12299366666666667,103.645815,2026-05-29T00:00,0.2,0
-0.12299366666666667,103.73136755555555,2026-05-29T00:00,0.4,0
