latitude,longitude,time,wind_speed,wind_direction
1.1422963333333334,103.91763300000001,2026-06-01T16:00,8.1,175
1.144389,103.91763300000001,2026-06-01T16:00,8.1,175
1.1422963333333334,103.91461500000001,2026-06-01T16:00,8.1,175
1.144389,103.91461500000001,2026-06-01T16:00,8.1,175
1.1464816666666666,103.911597,2026-06-01T16:00,8.1,175
1.1485743333333334,103.911597,2026-06-01T16:00,8.1,175
1.1402036666666668,103.91763300000001,2026-06-01T16:00,8.1,175
1.1506669999999999,103.899525,2026-06-01T16:00,8.1,175
1.1527596666666666,103.896507,2026-06-01T16:00,8.1,175
1.1506669999999999,103.905561,2026-06-01T16:00,8.1,175
1.1506669999999999,103.90254300000001,2026-06-01T16:00,8.1,175
1.1506669999999999,103.908579,2026-06-01T16:00,8.1,175
1.1506669999999999,103.91461500000001,2026-06-01T16:00,8.1,175
1.1506669999999999,103.911597,2026-06-01T16:00,8.1,175
1.1464816666666666,103.91461500000001,2026-06-01T16:00,8.1,175
1.1485743333333334,103.91461500000001,2026-06-01T16:00,8.1,175
1.1464816666666666,103.91763300000001,2026-06-01T16:00,8.1,175
1.1527596666666666,103.899525,2026-06-01T16:00,8.1,175
1.1527596666666666,103.90254300000001,2026-06-01T16:00,8.1,175
1.1527596666666666,103.905561,2026-06-01T16:00,8.1,175
1.1527596666666666,103.908579,2026-06-01T16:00,8.1,175
1.1548523333333331,103.896507,2026-06-01T16:00,8.1,175
1.1548523333333331,103.90254300000001,2026-06-01T16:00,8.1,175
1.1548523333333331,103.899525,2026-06-01T16:00,8.1,175
